time;nof_ue;dl_brate;ul_brate;proc_rmem;proc_rmem_kB;proc_vmem_kB;sys_mem;system_load;thread_count;cpu_0;cpu_1;cpu_2;cpu_3;cpu_4;cpu_5;cpu_6;cpu_7;cpu_8;cpu_9;cpu_10;cpu_11
43;0;0.0;0.0;4.6;749948;1732008;87;2.7;19;15;4.9;5.9;1.9;2.9;6.9;2.9;11;2.9;0.90;1.9;2.9
44;0;0.0;0.0;4.6;749948;1732008;87;2.7;19;14;4.9;8.9;3.9;1.9;6.9;1.9;11;0.90;1.9;1.9;1.9
45;0;0.0;0.0;4.6;749948;1732008;87;2.5;19;14;4.0;6.0;2.0;1.00;6.0;0.0;9.0;1.00;0.0;1.00;2.0
46;0;0.0;0.0;4.6;749948;1732008;87;2.6;19;14;4.9;4.9;2.9;0.90;5.9;0.90;9.9;0.0;0.90;1.9;1.9
47;0;0.0;0.0;4.6;749948;1732008;87;2.6;19;14;3.9;5.9;1.9;1.9;5.9;1.9;9.9;0.90;0.90;1.9;1.9
48;0;0.0;0.0;4.6;749948;1732008;87;2.6;19;15;5.0;7.0;3.0;3.0;8.0;4.0;10;4.0;2.0;2.0;5.0
49;0;0.0;0.0;4.6;749948;1732008;87;2.6;19;15;3.9;4.9;0.90;1.9;5.9;1.9;9.9;1.9;0.90;0.90;0.90
50;0;0.0;0.0;4.6;749948;1732008;87;2.5;19;14;3.9;5.9;0.90;1.9;5.9;0.90;8.9;1.9;0.90;1.9;0.90
51;0;0.0;0.0;4.6;749948;1732008;87;2.5;19;14;5.0;6.0;2.0;1.00;5.0;0.0;11;1.00;3.0;2.0;1.00
52;0;0.0;0.0;4.6;749948;1732008;87;2.5;19;13;4.0;5.0;2.0;2.0;6.0;1.00;9.0;1.00;2.0;1.00;1.00
53;0;0.0;0.0;4.6;749948;1732008;87;2.7;19;16;5.0;7.0;2.0;5.0;7.0;2.0;11;3.0;3.0;3.0;4.0
54;0;0.0;0.0;4.6;749948;1732008;87;2.6;19;14;3.9;4.9;0.90;0.90;5.9;0.90;9.9;0.90;2.9;1.9;0.90
55;0;0.0;0.0;4.6;749948;1732008;87;2.5;19;13;4.9;6.9;1.9;0.90;5.9;0.90;8.9;1.9;1.9;2.9;0.90
56;0;0.0;0.0;4.6;749948;1732008;87;2.5;19;16;4.0;7.0;9.0;2.0;6.0;1.00;10;2.0;1.00;4.0;1.00
57;0;0.0;0.0;4.6;749948;1732008;87;2.6;19;17;7.0;5.0;2.0;2.0;6.0;2.0;10;2.0;3.0;3.0;2.0
58;0;0.0;0.0;4.6;749948;1732008;87;2.5;19;15;3.9;6.9;1.9;1.9;5.9;0.90;8.9;2.9;0.90;2.9;3.9
59;0;0.0;0.0;4.6;749948;1732008;87;2.5;19;13;4.9;5.9;1.9;0.90;5.9;0.90;9.9;0.90;0.0;0.90;0.0
60;0;0.0;0.0;4.6;749948;1732008;87;2.6;19;14;8.0;7.0;2.0;1.00;6.0;2.0;9.0;3.0;2.0;2.0;1.00
61;0;0.0;0.0;4.6;749948;1732008;87;2.5;19;14;6.9;5.9;3.9;7.9;4.9;2.9;9.9;0.90;0.90;1.9;0.90
62;0;0.0;0.0;4.6;749948;1732008;87;2.6;19;14;4.0;6.0;1.00;1.00;6.0;2.0;10;2.0;1.00;2.0;1.00
63;0;0.0;0.0;4.6;749948;1732008;87;2.6;19;15;4.9;5.9;2.9;1.9;6.9;2.9;9.9;2.9;2.9;3.9;1.9
64;0;0.0;0.0;4.6;749948;1732008;87;2.5;19;14;4.9;5.9;1.9;0.90;4.9;0.90;11;0.90;0.90;1.9;0.90
65;0;0.0;0.0;4.6;749948;1732008;87;2.6;19;16;3.9;5.9;1.9;1.9;6.9;0.90;9.9;0.90;2.9;1.9;0.90
66;0;0.0;0.0;4.6;749948;1732008;87;2.5;19;14;4.0;6.0;1.00;2.0;5.0;1.00;9.0;2.0;1.00;2.0;2.0
67;0;0.0;0.0;4.6;749948;1732008;87;2.6;19;14;5.9;4.9;1.9;1.9;6.9;1.9;11;1.9;1.9;1.9;0.90
68;0;0.0;0.0;4.6;749948;1732008;87;2.6;19;16;6.0;6.0;2.0;2.0;8.0;3.0;10;2.0;2.0;4.0;3.0
69;0;0.0;0.0;4.6;749948;1732008;87;2.5;19;14;4.0;6.0;1.00;1.00;6.0;0.0;10;1.00;2.0;1.00;2.0
70;0;0.0;0.0;4.6;749948;1732008;87;2.7;19;16;4.0;7.0;2.0;1.00;6.0;3.0;10;1.00;3.0;2.0;1.00
71;0;0.0;0.0;4.6;749948;1732008;87;2.4;19;15;3.9;5.9;0.90;0.90;5.9;0.90;8.9;0.90;0.0;1.9;1.9
72;0;0.0;0.0;4.6;749948;1732008;87;2.6;19;14;4.0;6.0;2.0;1.00;6.0;0.0;9.0;1.00;1.00;1.00;1.00
73;0;0.0;0.0;4.6;749948;1732008;87;2.5;19;15;5.0;5.0;2.0;2.0;6.0;3.0;10;2.0;1.00;2.0;5.0
74;0;0.0;0.0;4.6;749948;1732008;87;2.7;19;15;4.0;6.0;1.00;2.0;6.0;3.0;10;2.0;1.00;1.00;1.00
75;0;0.0;0.0;4.6;749948;1732008;87;2.6;19;15;5.0;7.0;1.00;1.00;6.0;2.0;10;2.0;2.0;3.0;2.0
76;0;0.0;0.0;4.6;749948;1732008;87;2.5;19;15;3.9;5.9;1.9;1.9;5.9;0.0;9.9;1.9;1.9;2.9;1.9
77;0;0.0;0.0;4.6;749948;1732008;87;2.5;19;13;4.0;7.0;2.0;1.00;5.0;1.00;9.0;1.00;1.00;2.0;2.0
78;0;0.0;0.0;4.6;749948;1732008;87;2.7;19;15;4.9;6.9;4.9;1.9;6.9;2.9;9.9;2.9;2.9;0.90;3.9
79;0;0.0;0.0;4.6;749948;1732008;87;2.7;19;15;4.0;6.0;1.00;1.00;6.0;2.0;10;2.0;1.00;2.0;1.00
80;0;0.0;0.0;4.6;749948;1732008;87;2.5;19;13;4.0;6.0;1.00;2.0;6.0;1.00;10;2.0;1.00;0.0;1.00
